issue,date,red1,red2,red3
2014051,2014-02-28(五),00,01,03
2014052,2014-03-01(六),03,07,09
2014053,2014-03-02(日),00,00,07
2014054,2014-03-03(一),02,05,07
2014055,2014-03-04(二),01,06,07
2014056,2014-03-05(三),03,06,08
2014057,2014-03-06(四),00,02,05
2014058,2014-03-07(五),00,01,02
2014059,2014-03-08(六),01,07,08
2014060,2014-03-09(日),07,07,09
2014061,2014-03-10(一),01,08,09
2014062,2014-03-11(二),00,00,03
2014063,2014-03-12(三),02,04,07
2014064,2014-03-13(四),01,03,06
2014065,2014-03-14(五),00,02,08
2014066,2014-03-15(六),03,06,09
2014067,2014-03-16(日),00,02,07
2014068,2014-03-17(一),06,08,09
2014069,2014-03-18(二),02,05,06
2014070,2014-03-19(三),01,01,09
2014071,2014-03-20(四),03,05,07
2014072,2014-03-21(五),02,06,06
2014073,2014-03-22(六),00,03,06
2014074,2014-03-23(日),01,02,09
2014075,2014-03-24(一),01,04,06
2014076,2014-03-25(二),05,05,09
2014077,2014-03-26(三),01,02,07
2014078,2014-03-27(四),00,03,06
2014079,2014-03-28(五),00,02,06
2014080,2014-03-29(六),00,06,07
2014081,2014-03-30(日),04,04,05
2014082,2014-03-31(一),03,04,09
2014083,2014-04-01(二),01,02,05
2014084,2014-04-02(三),05,05,08
2014085,2014-04-03(四),02,03,06
2014086,2014-04-04(五),00,05,06
2014087,2014-04-05(六),00,00,03
2014088,2014-04-06(日),00,04,04
2014089,2014-04-07(一),00,05,06
2014090,2014-04-08(二),02,04,08
2014091,2014-04-09(三),04,05,09
2014092,2014-04-10(四),00,03,03
2014093,2014-04-11(五),08,09,09
2014094,2014-04-12(六),02,05,08
2014095,2014-04-13(日),03,05,05
2014096,2014-04-14(一),03,07,08
2014097,2014-04-15(二),03,08,09
2014098,2014-04-16(三),04,05,08
2014099,2014-04-17(四),02,06,08
2014100,2014-04-18(五),00,01,07
2014101,2014-04-19(六),02,08,09
2014102,2014-04-20(日),02,03,05
2014103,2014-04-21(一),00,02,05
2014104,2014-04-22(二),05,07,09
2014105,2014-04-23(三),01,03,06
2014106,2014-04-24(四),00,07,09
2014107,2014-04-25(五),06,06,09
2014108,2014-04-26(六),00,06,09
2014109,2014-04-27(日),05,06,09
2014110,2014-04-28(一),06,07,08
2014111,2014-04-29(二),04,07,08
2014112,2014-04-30(三),02,04,09
2014113,2014-05-01(四),01,02,04
2014114,2014-05-02(五),02,03,04
2014115,2014-05-03(六),04,05,06
2014116,2014-05-04(日),00,01,09
2014117,2014-05-05(一),02,08,09
2014118,2014-05-06(二),01,02,08
2014119,2014-05-07(三),03,03,08
2014120,2014-05-08(四),05,07,08
2014121,2014-05-09(五),03,04,07
2014122,2014-05-10(六),04,09,09
2014123,2014-05-11(日),01,03,05
2014124,2014-05-12(一),00,01,07
2014125,2014-05-13(二),02,05,08
2014126,2014-05-14(三),05,08,08
2014127,2014-05-15(四),01,03,04
2014128,2014-05-16(五),00,07,08
2014129,2014-05-17(六),01,04,05
2014130,2014-05-18(日),01,01,02
2014131,2014-05-19(一),00,07,08
2014132,2014-05-20(二),01,03,09
2014133,2014-05-21(三),00,05,06
2014134,2014-05-22(四),00,05,08
2014135,2014-05-23(五),00,04,09
2014136,2014-05-24(六),00,04,08
2014137,2014-05-25(日),01,06,09
2014138,2014-05-26(一),05,07,08
2014139,2014-05-27(二),04,06,07
2014140,2014-05-28(三),00,01,09
2014141,2014-05-29(四),01,02,09
2014142,2014-05-30(五),04,05,09
2014143,2014-05-31(六),02,04,04
2014144,2014-06-01(日),00,07,07
2014145,2014-06-02(一),01,02,06
2014146,2014-06-03(二),03,06,07
2014147,2014-06-04(三),05,07,08
2014148,2014-06-05(四),00,01,08
2014149,2014-06-06(五),02,02,06
2014150,2014-06-07(六),00,01,07
2014151,2014-06-08(日),01,03,09
2014152,2014-06-09(一),01,02,08
2014153,2014-06-10(二),02,03,09
2014154,2014-06-11(三),01,01,05
2014155,2014-06-12(四),06,07,07
2014156,2014-06-13(五),01,04,09
2014157,2014-06-14(六),05,05,07
2014158,2014-06-15(日),01,01,04
2014159,2014-06-16(一),01,02,03
2014160,2014-06-17(二),00,04,05
2014161,2014-06-18(三),04,06,09
2014162,2014-06-19(四),05,07,08
2014163,2014-06-20(五),06,06,08
2014164,2014-06-21(六),01,03,04
2014165,2014-06-22(日),04,06,06
2014166,2014-06-23(一),01,03,06
2014167,2014-06-24(二),06,08,09
2014168,2014-06-25(三),01,04,08
2014169,2014-06-26(四),02,07,09
2014170,2014-06-27(五),00,03,06
2014171,2014-06-28(六),01,03,06
2014172,2014-06-29(日),03,04,08
2014173,2014-06-30(一),03,05,09
2014174,2014-07-01(二),05,06,09
2014175,2014-07-02(三),03,04,07
2014176,2014-07-03(四),05,06,08
2014177,2014-07-04(五),00,02,06
2014178,2014-07-05(六),00,07,07
2014179,2014-07-06(日),00,01,03
2014180,2014-07-07(一),01,09,09
2014181,2014-07-08(二),00,06,08
2014182,2014-07-09(三),00,04,08
2014183,2014-07-10(四),07,08,09
2014184,2014-07-11(五),03,07,09
2014185,2014-07-12(六),03,06,06
2014186,2014-07-13(日),02,04,08
2014187,2014-07-14(一),06,07,08
2014188,2014-07-15(二),05,06,09
2014189,2014-07-16(三),05,08,08
2014190,2014-07-17(四),05,07,09
2014191,2014-07-18(五),01,01,04
2014192,2014-07-19(六),00,02,08
2014193,2014-07-20(日),01,03,05
2014194,2014-07-21(一),02,06,06
2014195,2014-07-22(二),05,08,09
2014196,2014-07-23(三),03,08,08
2014197,2014-07-24(四),02,03,08
2014198,2014-07-25(五),00,08,09
2014199,2014-07-26(六),04,06,08
2014200,2014-07-27(日),03,05,08
2014201,2014-07-28(一),03,03,06
2014202,2014-07-29(二),02,06,07
2014203,2014-07-30(三),04,06,08
2014204,2014-07-31(四),02,04,08
2014205,2014-08-01(五),02,02,07
2014206,2014-08-02(六),05,06,07
2014207,2014-08-03(日),02,05,08
2014208,2014-08-04(一),01,02,04
2014209,2014-08-05(二),01,04,09
2014210,2014-08-06(三),05,05,08
2014211,2014-08-07(四),06,07,09
2014212,2014-08-08(五),03,05,05
2014213,2014-08-09(六),04,04,07
2014214,2014-08-10(日),00,07,07
2014215,2014-08-11(一),01,05,07
2014216,2014-08-12(二),03,08,09
2014217,2014-08-13(三),03,04,05
2014218,2014-08-14(四),02,03,08
2014219,2014-08-15(五),05,08,09
2014220,2014-08-16(六),02,06,08
2014221,2014-08-17(日),03,04,08
2014222,2014-08-18(一),02,06,07
2014223,2014-08-19(二),04,04,04
2014224,2014-08-20(三),06,08,09
2014225,2014-08-21(四),00,02,09
2014226,2014-08-22(五),05,06,07
2014227,2014-08-23(六),00,03,07
2014228,2014-08-24(日),05,05,08
2014229,2014-08-25(一),01,06,08
2014230,2014-08-26(二),06,08,08
2014231,2014-08-27(三),00,03,08
2014232,2014-08-28(四),01,01,09
2014233,2014-08-29(五),02,03,08
2014234,2014-08-30(六),00,05,08
2014235,2014-08-31(日),00,03,03
2014236,2014-09-01(一),00,03,04
2014237,2014-09-02(二),00,02,06
2014238,2014-09-03(三),02,04,05
2014239,2014-09-04(四),02,05,05
2014240,2014-09-05(五),01,01,04
2014241,2014-09-06(六),01,03,04
2014242,2014-09-07(日),01,02,04
2014243,2014-09-08(一),06,07,08
2014244,2014-09-09(二),01,02,02
