issue,date,red1,red2,red3
2015080,2015-03-28(六),00,01,08
2015081,2015-03-29(日),02,02,04
2015082,2015-03-30(一),00,06,09
2015083,2015-03-31(二),01,07,08
2015084,2015-04-01(三),01,07,08
2015085,2015-04-02(四),04,07,09
2015086,2015-04-03(五),02,04,07
2015087,2015-04-04(六),01,03,04
2015088,2015-04-05(日),05,05,09
2015089,2015-04-06(一),03,06,08
2015090,2015-04-07(二),08,09,09
2015091,2015-04-08(三),03,04,09
2015092,2015-04-09(四),03,04,06
2015093,2015-04-10(五),03,06,07
2015094,2015-04-11(六),05,05,06
2015095,2015-04-12(日),04,06,07
2015096,2015-04-13(一),06,07,09
2015097,2015-04-14(二),02,06,08
2015098,2015-04-15(三),00,03,09
2015099,2015-04-16(四),02,03,06
2015100,2015-04-17(五),07,08,08
2015101,2015-04-18(六),03,04,08
2015102,2015-04-19(日),03,06,09
2015103,2015-04-20(一),06,07,07
2015104,2015-04-21(二),04,06,07
2015105,2015-04-22(三),01,03,09
2015106,2015-04-23(四),01,02,04
2015107,2015-04-24(五),01,04,05
2015108,2015-04-25(六),05,07,08
2015109,2015-04-26(日),04,04,07
2015110,2015-04-27(一),08,08,09
2015111,2015-04-28(二),01,07,08
2015112,2015-04-29(三),01,04,05
2015113,2015-04-30(四),00,04,05
2015114,2015-05-01(五),04,04,08
2015115,2015-05-02(六),05,08,09
2015116,2015-05-03(日),01,07,07
2015117,2015-05-04(一),01,06,07
2015118,2015-05-05(二),00,06,07
2015119,2015-05-06(三),00,07,09
2015120,2015-05-07(四),04,07,08
2015121,2015-05-08(五),02,02,07
2015122,2015-05-09(六),02,04,07
2015123,2015-05-10(日),00,02,04
2015124,2015-05-11(一),05,09,09
2015125,2015-05-12(二),02,05,09
2015126,2015-05-13(三),01,07,09
2015127,2015-05-14(四),00,07,09
2015128,2015-05-15(五),01,03,03
2015129,2015-05-16(六),00,05,05
2015130,2015-05-17(日),01,02,08
2015131,2015-05-18(一),01,04,07
2015132,2015-05-19(二),05,06,08
2015133,2015-05-20(三),00,00,01
2015134,2015-05-21(四),01,06,06
2015135,2015-05-22(五),01,02,03
2015136,2015-05-23(六),03,07,08
2015137,2015-05-24(日),02,03,09
2015138,2015-05-25(一),01,02,08
2015139,2015-05-26(二),03,03,09
2015140,2015-05-27(三),05,05,07
2015141,2015-05-28(四),01,02,08
2015142,2015-05-29(五),00,03,06
2015143,2015-05-30(六),00,08,08
2015144,2015-05-31(日),00,08,09
2015145,2015-06-01(一),01,07,09
2015146,2015-06-02(二),01,04,06
2015147,2015-06-03(三),01,03,03
2015148,2015-06-04(四),00,05,07
2015149,2015-06-05(五),00,02,02
2015150,2015-06-06(六),02,05,07
2015151,2015-06-07(日),00,03,04
2015152,2015-06-08(一),00,06,06
2015153,2015-06-09(二),01,04,05
2015154,2015-06-10(三),01,01,04
2015155,2015-06-11(四),01,08,08
2015156,2015-06-12(五),02,07,08
2015157,2015-06-13(六),02,02,02
2015158,2015-06-14(日),00,03,07
2015159,2015-06-15(一),04,07,08
2015160,2015-06-16(二),02,07,09
2015161,2015-06-17(三),02,03,08
2015162,2015-06-18(四),00,03,09
2015163,2015-06-19(五),00,00,03
2015164,2015-06-20(六),01,03,03
2015165,2015-06-21(日),05,06,07
2015166,2015-06-22(一),01,08,09
2015167,2015-06-23(二),00,01,06
2015168,2015-06-24(三),00,03,06
2015169,2015-06-25(四),01,01,05
2015170,2015-06-26(五),01,03,03
2015171,2015-06-27(六),02,06,07
2015172,2015-06-28(日),04,06,08
2015173,2015-06-29(一),04,08,09
2015174,2015-06-30(二),00,03,05
2015175,2015-07-01(三),03,04,07
2015176,2015-07-02(四),03,07,07
2015177,2015-07-03(五),00,05,06
2015178,2015-07-04(六),01,01,04
2015179,2015-07-05(日),01,03,08
2015180,2015-07-06(一),00,02,07
2015181,2015-07-07(二),01,02,08
2015182,2015-07-08(三),01,04,07
2015183,2015-07-09(四),01,03,07
2015184,2015-07-10(五),01,01,09
2015185,2015-07-11(六),00,07,08
2015186,2015-07-12(日),01,05,09
2015187,2015-07-13(一),07,08,08
2015188,2015-07-14(二),03,06,06
2015189,2015-07-15(三),02,02,04
2015190,2015-07-16(四),00,04,08
2015191,2015-07-17(五),01,03,07
2015192,2015-07-18(六),04,07,07
2015193,2015-07-19(日),01,04,06
2015194,2015-07-20(一),01,05,06
2015195,2015-07-21(二),01,07,08
2015196,2015-07-22(三),01,03,08
2015197,2015-07-23(四),00,05,08
2015198,2015-07-24(五),05,07,07
2015199,2015-07-25(六),01,01,03
2015200,2015-07-26(日),03,05,05
2015201,2015-07-27(一),00,05,09
2015202,2015-07-28(二),02,05,09
2015203,2015-07-29(三),08,08,09
2015204,2015-07-30(四),04,04,06
2015205,2015-07-31(五),01,03,03
2015206,2015-08-01(六),00,00,09
2015207,2015-08-02(日),03,05,06
2015208,2015-08-03(一),02,03,05
2015209,2015-08-04(二),04,05,07
2015210,2015-08-05(三),00,05,08
2015211,2015-08-06(四),00,01,07
2015212,2015-08-07(五),06,08,09
2015213,2015-08-08(六),00,02,05
2015214,2015-08-09(日),01,02,04
2015215,2015-08-10(一),01,02,06
2015216,2015-08-11(二),00,03,05
2015217,2015-08-12(三),03,05,06
2015218,2015-08-13(四),01,09,09
2015219,2015-08-14(五),05,06,06
2015220,2015-08-15(六),04,08,08
2015221,2015-08-16(日),00,05,06
2015222,2015-08-17(一),00,05,05
2015223,2015-08-18(二),00,01,08
2015224,2015-08-19(三),00,01,08
2015225,2015-08-20(四),02,03,04
2015226,2015-08-21(五),01,04,05
2015227,2015-08-22(六),01,07,08
2015228,2015-08-23(日),00,02,09
2015229,2015-08-24(一),01,06,07
2015230,2015-08-25(二),02,05,09
2015231,2015-08-26(三),03,06,08
2015232,2015-08-27(四),01,01,08
2015233,2015-08-28(五),02,03,04
2015234,2015-08-29(六),04,04,05
2015235,2015-08-30(日),00,01,07
2015236,2015-08-31(一),02,04,06
2015237,2015-09-01(二),00,01,07
2015238,2015-09-02(三),02,06,07
2015239,2015-09-03(四),08,09,09
2015240,2015-09-04(五),02,04,06
2015241,2015-09-05(六),05,07,09
2015242,2015-09-06(日),04,06,07
2015243,2015-09-07(一),08,09,09
2015244,2015-09-08(二),07,08,08
2015245,2015-09-09(三),01,03,08
2015246,2015-09-10(四),01,03,03
2015247,2015-09-11(五),04,08,09
2015248,2015-09-12(六),05,09,09
2015249,2015-09-13(日),01,03,09
2015250,2015-09-14(一),03,07,08
2015251,2015-09-15(二),06,06,08
2015252,2015-09-16(三),06,07,09
2015253,2015-09-17(四),01,04,05
2015254,2015-09-18(五),01,07,08
2015255,2015-09-19(六),03,05,08
2015256,2015-09-20(日),02,02,07
2015257,2015-09-21(一),08,08,09
2015258,2015-09-22(二),05,05,05
2015259,2015-09-23(三),00,04,06
2015260,2015-09-24(四),01,01,08
2015261,2015-09-25(五),00,02,03
2015262,2015-09-26(六),03,06,09
2015263,2015-09-27(日),00,02,08
2015264,2015-09-28(一),01,04,09
2015265,2015-09-29(二),00,01,09
2015266,2015-09-30(三),02,05,07
2015267,2015-10-01(四),07,07,08
2015268,2015-10-02(五),03,03,04
2015269,2015-10-03(六),07,07,07
2015270,2015-10-04(日),00,05,07
2015271,2015-10-05(一),01,01,09
2015272,2015-10-06(二),02,08,08
2015273,2015-10-07(三),00,07,09
2015274,2015-10-08(四),05,05,07
2015275,2015-10-09(五),04,04,06
2015276,2015-10-10(六),00,01,01
2015277,2015-10-11(日),00,06,07
2015278,2015-10-12(一),04,05,08
2015279,2015-10-13(二),01,02,06
2015280,2015-10-14(三),01,08,09
2015281,2015-10-15(四),01,04,04
2015282,2015-10-16(五),04,06,08
2015283,2015-10-17(六),01,05,09
2015284,2015-10-18(日),05,07,07
2015285,2015-10-19(一),00,05,08
2015286,2015-10-20(二),00,00,02
2015287,2015-10-21(三),07,07,09
2015288,2015-10-22(四),09,09,09
2015289,2015-10-23(五),06,06,09
2015290,2015-10-24(六),05,07,09
2015291,2015-10-25(日),06,08,09
2015292,2015-10-26(一),00,00,01
2015293,2015-10-27(二),00,02,09
2015294,2015-10-28(三),02,06,08
2015295,2015-10-29(四),02,02,03
2015296,2015-10-30(五),01,03,06
2015297,2015-10-31(六),08,08,08
2015298,2015-11-01(日),02,03,06
2015299,2015-11-02(一),05,06,07
2015300,2015-11-03(二),02,05,06
2015301,2015-11-04(三),01,02,07
2015302,2015-11-05(四),00,01,02
2015303,2015-11-06(五),04,05,07
2015304,2015-11-07(六),01,05,07
2015305,2015-11-08(日),00,02,06
2015306,2015-11-09(一),02,03,09
2015307,2015-11-10(二),03,04,07
2015308,2015-11-11(三),04,08,09
2015309,2015-11-12(四),08,09,09
2015310,2015-11-13(五),01,05,06
2015311,2015-11-14(六),05,06,06
2015312,2015-11-15(日),01,03,08
2015313,2015-11-16(一),00,00,08
2015314,2015-11-17(二),00,00,01
2015315,2015-11-18(三),00,03,04
2015316,2015-11-19(四),06,08,09
2015317,2015-11-20(五),02,06,08
2015318,2015-11-21(六),01,01,01
2015319,2015-11-22(日),00,06,08
2015320,2015-11-23(一),05,07,08
2015321,2015-11-24(二),02,06,08
2015322,2015-11-25(三),03,09,09
2015323,2015-11-26(四),04,06,07
2015324,2015-11-27(五),06,08,09
2015325,2015-11-28(六),00,06,07
2015326,2015-11-29(日),01,08,08
2015327,2015-11-30(一),01,08,09
2015328,2015-12-01(二),03,03,07
2015329,2015-12-02(三),01,04,05
2015330,2015-12-03(四),03,06,09
2015331,2015-12-04(五),00,00,07
2015332,2015-12-05(六),03,04,04
2015333,2015-12-06(日),00,08,09
2015334,2015-12-07(一),01,02,06
2015335,2015-12-08(二),06,09,09
2015336,2015-12-09(三),03,06,09
2015337,2015-12-10(四),02,04,06
2015338,2015-12-11(五),02,04,05
2015339,2015-12-12(六),00,01,04
2015340,2015-12-13(日),00,07,09
2015341,2015-12-14(一),00,00,07
2015342,2015-12-15(二),02,04,06
2015343,2015-12-16(三),05,05,06
2015344,2015-12-17(四),01,03,04
2015345,2015-12-18(五),01,02,06
2015346,2015-12-19(六),02,02,09
2015347,2015-12-20(日),02,02,03
2015348,2015-12-21(一),07,09,09
2015349,2015-12-22(二),00,06,08
2015350,2015-12-23(三),01,04,06
2015351,2015-12-24(四),03,09,09
2015352,2015-12-25(五),03,04,08
2015353,2015-12-26(六),01,03,09
2015354,2015-12-27(日),03,05,06
2015355,2015-12-28(一),03,04,04
2015356,2015-12-29(二),04,05,07
2015357,2015-12-30(三),02,05,08
2015358,2015-12-31(四),01,02,06
2016001,2016-01-01(五),07,08,09
2016002,2016-01-02(六),02,03,07
2016003,2016-01-03(日),01,05,09
2016004,2016-01-04(一),01,06,07
2016005,2016-01-05(二),01,05,08
2016006,2016-01-06(三),00,07,09
2016007,2016-01-07(四),02,05,09
2016008,2016-01-08(五),03,05,08
2016009,2016-01-09(六),03,03,05
2016010,2016-01-10(日),00,02,08
2016011,2016-01-11(一),01,05,08
2016012,2016-01-12(二),00,01,08
2016013,2016-01-13(三),02,03,04
2016014,2016-01-14(四),03,08,09
2016015,2016-01-15(五),03,04,09
2016016,2016-01-16(六),04,04,07
2016017,2016-01-17(日),01,03,05
2016018,2016-01-18(一),03,05,06
2016019,2016-01-19(二),02,07,08
2016020,2016-01-20(三),01,02,05
2016021,2016-01-21(四),06,09,09
2016022,2016-01-22(五),01,06,09
2016023,2016-01-23(六),02,07,09
2016024,2016-01-24(日),02,04,06
2016025,2016-01-25(一),00,01,01
2016026,2016-01-26(二),02,03,04
2016027,2016-01-27(三),00,02,08
2016028,2016-01-28(四),01,04,06
2016029,2016-01-29(五),00,02,06
2016030,2016-01-30(六),02,03,09
2016031,2016-01-31(日),02,05,09
2016032,2016-02-01(一),07,07,08
2016033,2016-02-02(二),03,07,08
2016034,2016-02-03(三),00,06,06
2016035,2016-02-04(四),01,08,09
2016036,2016-02-05(五),06,08,09
2016037,2016-02-06(六),04,06,08
2016038,2016-02-14(日),00,06,09
2016039,2016-02-15(一),02,04,08
2016040,2016-02-16(二),01,03,04
2016041,2016-02-17(三),01,05,09
2016042,2016-02-18(四),00,01,07
2016043,2016-02-19(五),05,05,07
2016044,2016-02-20(六),00,00,01
2016045,2016-02-21(日),02,06,09
2016046,2016-02-22(一),03,03,08
2016047,2016-02-23(二),00,06,06
2016048,2016-02-24(三),01,05,08
2016049,2016-02-25(四),03,07,09
2016050,2016-02-26(五),01,03,07
2016051,2016-02-27(六),02,05,08
2016052,2016-02-28(日),01,04,06
2016053,2016-02-29(一),04,09,09
2016054,2016-03-01(二),02,03,08
2016055,2016-03-02(三),03,05,05
2016056,2016-03-03(四),01,04,09
2016057,2016-03-04(五),03,04,05
2016058,2016-03-05(六),01,02,06
2016059,2016-03-06(日),01,04,07
2016060,2016-03-07(一),00,03,09
2016061,2016-03-08(二),04,05,07
2016062,2016-03-09(三),00,03,08
2016063,2016-03-10(四),03,05,06
2016064,2016-03-11(五),00,02,06
2016065,2016-03-12(六),00,04,05
2016066,2016-03-13(日),01,01,08
2016067,2016-03-14(一),00,00,01
2016068,2016-03-15(二),00,05,07
2016069,2016-03-16(三),03,04,06
2016070,2016-03-17(四),06,08,09
2016071,2016-03-18(五),00,05,06
2016072,2016-03-19(六),00,00,02
2016073,2016-03-20(日),01,05,08
2016074,2016-03-21(一),07,07,07
2016075,2016-03-22(二),04,05,08
2016076,2016-03-23(三),04,04,06
2016077,2016-03-24(四),01,07,07
2016078,2016-03-25(五),00,08,09
2016079,2016-03-26(六),00,05,07
2016080,2016-03-27(日),01,02,06
2016081,2016-03-28(一),03,05,06
2016082,2016-03-29(二),00,04,06
2016083,2016-03-30(三),02,08,09
2016084,2016-03-31(四),02,02,08
2016085,2016-04-01(五),06,07,09
2016086,2016-04-02(六),02,04,09
2016087,2016-04-03(日),00,09,09
2016088,2016-04-04(一),03,04,07
2016089,2016-04-05(二),01,01,01
2016090,2016-04-06(三),04,05,09
2016091,2016-04-07(四),00,04,05
2016092,2016-04-08(五),05,07,08
2016093,2016-04-09(六),02,02,06
2016094,2016-04-10(日),02,04,08
2016095,2016-04-11(一),00,04,07
2016096,2016-04-12(二),03,04,08
2016097,2016-04-13(三),02,03,05
2016098,2016-04-14(四),01,04,04
2016099,2016-04-15(五),01,02,07
2016100,2016-04-16(六),01,05,05
2016101,2016-04-17(日),00,01,06
2016102,2016-04-18(一),02,02,08
2016103,2016-04-19(二),01,02,06
2016104,2016-04-20(三),00,00,09
2016105,2016-04-21(四),06,09,09
2016106,2016-04-22(五),00,03,04
2016107,2016-04-23(六),02,03,08
2016108,2016-04-24(日),00,04,08
2016109,2016-04-25(一),00,00,01
2016110,2016-04-26(二),00,05,06
2016111,2016-04-27(三),03,03,06
2016112,2016-04-28(四),00,03,04
2016113,2016-04-29(五),06,07,09
2016114,2016-04-30(六),01,08,09
2016115,2016-05-01(日),01,03,06
2016116,2016-05-02(一),02,04,05
2016117,2016-05-03(二),02,03,06
2016118,2016-05-04(三),00,03,07
2016119,2016-05-05(四),00,03,08
2016120,2016-05-06(五),03,06,09
2016121,2016-05-07(六),03,04,08
2016122,2016-05-08(日),02,06,07
2016123,2016-05-09(一),00,07,08
2016124,2016-05-10(二),01,04,09
2016125,2016-05-11(三),04,05,09
2016126,2016-05-12(四),01,03,04
2016127,2016-05-13(五),05,07,09
2016128,2016-05-14(六),01,02,03
2016129,2016-05-15(日),01,04,06
2016130,2016-05-16(一),02,06,08
2016131,2016-05-17(二),03,05,07
2016132,2016-05-18(三),03,04,05
2016133,2016-05-19(四),01,06,09
2016134,2016-05-20(五),00,01,07
2016135,2016-05-21(六),02,03,07
2016136,2016-05-22(日),01,06,09
2016137,2016-05-23(一),03,03,09
2016138,2016-05-24(二),00,05,06
2016139,2016-05-25(三),00,02,05
2016140,2016-05-26(四),07,07,08
2016141,2016-05-27(五),06,08,08
2016142,2016-05-28(六),03,04,05
2016143,2016-05-29(日),00,03,05
2016144,2016-05-30(一),02,05,06
2016145,2016-05-31(二),01,04,09
2016146,2016-06-01(三),01,06,07
2016147,2016-06-02(四),08,09,09
2016148,2016-06-03(五),01,03,08
2016149,2016-06-04(六),03,05,07
2016150,2016-06-05(日),01,02,09
2016151,2016-06-06(一),03,03,06
2016152,2016-06-07(二),04,08,09
2016153,2016-06-08(三),01,04,07
2016154,2016-06-09(四),03,08,09
2016155,2016-06-10(五),04,07,08
2016156,2016-06-11(六),02,07,08
2016157,2016-06-12(日),01,01,05
2016158,2016-06-13(一),00,02,09
2016159,2016-06-14(二),01,06,09
2016160,2016-06-15(三),00,01,07
2016161,2016-06-16(四),00,01,04
2016162,2016-06-17(五),03,04,06
2016163,2016-06-18(六),00,03,03
2016164,2016-06-19(日),02,03,07
2016165,2016-06-20(一),00,01,04
2016166,2016-06-21(二),03,06,09
2016167,2016-06-22(三),02,04,09
2016168,2016-06-23(四),01,01,09
2016169,2016-06-24(五),00,06,07
2016170,2016-06-25(六),00,09,09
2016171,2016-06-26(日),05,08,09
2016172,2016-06-27(一),02,03,03
2016173,2016-06-28(二),05,06,09
2016174,2016-06-29(三),00,00,07
2016175,2016-06-30(四),01,04,06
2016176,2016-07-01(五),01,02,07
2016177,2016-07-02(六),01,05,09
2016178,2016-07-03(日),02,04,04
2016179,2016-07-04(一),03,07,08
2016180,2016-07-05(二),05,06,09
2016181,2016-07-06(三),06,08,09
2016182,2016-07-07(四),04,08,09
2016183,2016-07-08(五),05,06,09
2016184,2016-07-09(六),00,03,07
2016185,2016-07-10(日),00,03,08
2016186,2016-07-11(一),01,06,08
2016187,2016-07-12(二),01,03,09
2016188,2016-07-13(三),00,09,09
2016189,2016-07-14(四),00,07,09
2016190,2016-07-15(五),02,03,08
2016191,2016-07-16(六),00,03,08
2016192,2016-07-17(日),01,06,06
2016193,2016-07-18(一),05,06,09
2016194,2016-07-19(二),00,04,07
2016195,2016-07-20(三),00,01,06
2016196,2016-07-21(四),00,07,09
2016197,2016-07-22(五),01,05,09
2016198,2016-07-23(六),00,03,03
2016199,2016-07-24(日),03,04,07
2016200,2016-07-25(一),02,03,09
2016201,2016-07-26(二),00,02,03
2016202,2016-07-27(三),04,07,08
2016203,2016-07-28(四),05,07,09
2016204,2016-07-29(五),02,03,09
2016205,2016-07-30(六),04,09,09
2016206,2016-07-31(日),01,03,07
2016207,2016-08-01(一),05,06,09
2016208,2016-08-02(二),00,05,09
2016209,2016-08-03(三),00,02,03
2016210,2016-08-04(四),02,07,09
2016211,2016-08-05(五),03,04,06
2016212,2016-08-06(六),00,03,08
2016213,2016-08-07(日),01,03,07
2016214,2016-08-08(一),02,04,09
2016215,2016-08-09(二),01,04,04
2016216,2016-08-10(三),03,03,04
2016217,2016-08-11(四),00,03,08
2016218,2016-08-12(五),02,03,03
2016219,2016-08-13(六),00,01,04
2016220,2016-08-14(日),03,06,07
2016221,2016-08-15(一),00,08,08
2016222,2016-08-16(二),00,04,04
2016223,2016-08-17(三),02,07,09
2016224,2016-08-18(四),02,07,08
2016225,2016-08-19(五),01,02,02
2016226,2016-08-20(六),02,08,09
2016227,2016-08-21(日),06,08,09
2016228,2016-08-22(一),01,08,08
2016229,2016-08-23(二),03,07,08
2016230,2016-08-24(三),04,07,09
2016231,2016-08-25(四),04,05,08
2016232,2016-08-26(五),01,02,03
2016233,2016-08-27(六),04,06,09
2016234,2016-08-28(日),00,02,04
2016235,2016-08-29(一),04,05,05
2016236,2016-08-30(二),01,08,09
2016237,2016-08-31(三),01,03,05
2016238,2016-09-01(四),00,03,07
2016239,2016-09-02(五),00,05,06
2016240,2016-09-03(六),00,07,08
2016241,2016-09-04(日),04,09,09
2016242,2016-09-05(一),03,05,09
2016243,2016-09-06(二),04,04,06
2016244,2016-09-07(三),06,09,09
2016245,2016-09-08(四),00,06,07
2016246,2016-09-09(五),01,03,09
2016247,2016-09-10(六),01,04,04
2016248,2016-09-11(日),01,03,09
2016249,2016-09-12(一),00,01,09
2016250,2016-09-13(二),01,04,06
2016251,2016-09-14(三),00,06,08
2016252,2016-09-15(四),00,02,05
2016253,2016-09-16(五),02,05,06
2016254,2016-09-17(六),04,05,06
2016255,2016-09-18(日),01,04,05
2016256,2016-09-19(一),02,06,08
2016257,2016-09-20(二),06,07,09
2016258,2016-09-21(三),02,06,06
2016259,2016-09-22(四),02,03,08
2016260,2016-09-23(五),00,01,06
2016261,2016-09-24(六),00,04,09
2016262,2016-09-25(日),05,06,09
2016263,2016-09-26(一),04,08,09
2016264,2016-09-27(二),08,08,09
2016265,2016-09-28(三),02,05,05
2016266,2016-09-29(四),01,04,09
2016267,2016-09-30(五),08,09,09
2016268,2016-10-01(六),00,01,05
2016269,2016-10-02(日),00,06,08
2016270,2016-10-03(一),01,01,04
2016271,2016-10-04(二),03,04,04
2016272,2016-10-05(三),03,03,07
2016273,2016-10-06(四),05,05,06
2016274,2016-10-07(五),03,08,08
2016275,2016-10-08(六),04,07,08
2016276,2016-10-09(日),02,07,07
2016277,2016-10-10(一),00,05,08
2016278,2016-10-11(二),03,04,05
2016279,2016-10-12(三),02,04,06
2016280,2016-10-13(四),03,07,08
2016281,2016-10-14(五),08,09,09
2016282,2016-10-15(六),02,06,06
2016283,2016-10-16(日),00,04,07
2016284,2016-10-17(一),01,03,04
2016285,2016-10-18(二),04,08,08
2016286,2016-10-19(三),00,07,09
2016287,2016-10-20(四),01,02,06
2016288,2016-10-21(五),00,00,01
2016289,2016-10-22(六),03,05,09
2016290,2016-10-23(日),00,03,04
2016291,2016-10-24(一),01,03,07
2016292,2016-10-25(二),00,05,07
2016293,2016-10-26(三),02,03,06
2016294,2016-10-27(四),03,03,04
2016295,2016-10-28(五),07,08,09
2016296,2016-10-29(六),04,07,08
2016297,2016-10-30(日),00,01,06
2016298,2016-10-31(一),01,05,06
2016299,2016-11-01(二),00,04,05
2016300,2016-11-02(三),00,05,08
2016301,2016-11-03(四),02,05,07
2016302,2016-11-04(五),05,06,06
2016303,2016-11-05(六),00,01,08
2016304,2016-11-06(日),05,06,08
2016305,2016-11-07(一),04,04,07
2016306,2016-11-08(二),00,03,07
2016307,2016-11-09(三),07,09,09
2016308,2016-11-10(四),03,04,07
2016309,2016-11-11(五),00,03,08
2016310,2016-11-12(六),00,04,05
2016311,2016-11-13(日),03,08,09
2016312,2016-11-14(一),01,01,03
2016313,2016-11-15(二),03,03,07
2016314,2016-11-16(三),01,05,07
2016315,2016-11-17(四),08,08,08
2016316,2016-11-18(五),04,07,07
2016317,2016-11-19(六),02,03,04
2016318,2016-11-20(日),00,04,07
2016319,2016-11-21(一),05,05,07
2016320,2016-11-22(二),02,05,09
2016321,2016-11-23(三),02,03,08
2016322,2016-11-24(四),01,03,05
2016323,2016-11-25(五),07,07,08
2016324,2016-11-26(六),03,06,06
2016325,2016-11-27(日),01,06,09
2016326,2016-11-28(一),00,06,09
2016327,2016-11-29(二),01,03,08
2016328,2016-11-30(三),00,07,09
2016329,2016-12-01(四),02,04,04
2016330,2016-12-02(五),01,03,08
2016331,2016-12-03(六),03,08,09
2016332,2016-12-04(日),06,07,07
2016333,2016-12-05(一),00,04,05
2016334,2016-12-06(二),01,08,09
2016335,2016-12-07(三),00,05,05
2016336,2016-12-08(四),00,07,09
2016337,2016-12-09(五),02,09,09
2016338,2016-12-10(六),00,01,03
2016339,2016-12-11(日),02,02,06
2016340,2016-12-12(一),03,04,09
2016341,2016-12-13(二),01,01,05
2016342,2016-12-14(三),04,04,08
2016343,2016-12-15(四),02,02,05
2016344,2016-12-16(五),03,06,07
2016345,2016-12-17(六),05,05,09
2016346,2016-12-18(日),00,02,09
2016347,2016-12-19(一),00,06,08
2016348,2016-12-20(二),02,08,09
2016349,2016-12-21(三),00,04,09
2016350,2016-12-22(四),03,03,08
2016351,2016-12-23(五),01,08,08
2016352,2016-12-24(六),00,01,06
2016353,2016-12-25(日),00,04,08
2016354,2016-12-26(一),02,04,08
2016355,2016-12-27(二),02,04,09
2016356,2016-12-28(三),01,02,05
2016357,2016-12-29(四),01,04,05
2016358,2016-12-30(五),00,01,01
2016359,2016-12-31(六),03,08,08
2017001,2017-01-01(日),03,06,09
2017002,2017-01-02(一),07,07,09
2017003,2017-01-03(二),00,05,06
2017004,2017-01-04(三),01,03,07
2017005,2017-01-05(四),02,04,06
2017006,2017-01-06(五),08,08,08
2017007,2017-01-07(六),03,07,08
2017008,2017-01-08(日),01,06,09
2017009,2017-01-09(一),00,02,02
2017010,2017-01-10(二),06,07,09
2017011,2017-01-11(三),00,09,09
2017012,2017-01-12(四),01,02,05
2017013,2017-01-13(五),02,05,08
2017014,2017-01-14(六),01,02,02
2017015,2017-01-15(日),00,05,09
2017016,2017-01-16(一),04,06,09
2017017,2017-01-17(二),01,07,08
2017018,2017-01-18(三),01,03,05
2017019,2017-01-19(四),00,06,06
2017020,2017-01-20(五),03,08,09
2017021,2017-01-21(六),04,05,08
2017022,2017-01-22(日),00,02,08
2017023,2017-01-23(一),00,02,05
2017024,2017-01-24(二),00,07,09
2017025,2017-01-25(三),03,05,09
2017026,2017-01-26(四),02,05,09
2017027,2017-02-03(五),03,07,08
2017028,2017-02-04(六),01,03,09
2017029,2017-02-05(日),02,02,07
2017030,2017-02-06(一),00,01,07
2017031,2017-02-07(二),03,06,07
2017032,2017-02-08(三),02,03,07
2017033,2017-02-09(四),01,01,04
2017034,2017-02-10(五),03,04,08
2017035,2017-02-11(六),02,04,06
2017036,2017-02-12(日),00,05,06
2017037,2017-02-13(一),07,08,09
2017038,2017-02-14(二),01,03,04
2017039,2017-02-15(三),03,05,09
2017040,2017-02-16(四),08,09,09
2017041,2017-02-17(五),00,04,08
2017042,2017-02-18(六),00,00,00
2017043,2017-02-19(日),00,00,05
2017044,2017-02-20(一),01,06,08
2017045,2017-02-21(二),06,07,09
2017046,2017-02-22(三),00,05,07
2017047,2017-02-23(四),04,05,09
2017048,2017-02-24(五),05,05,07
2017049,2017-02-25(六),00,03,06
2017050,2017-02-26(日),02,07,08
2017051,2017-02-27(一),00,02,07
2017052,2017-02-28(二),01,03,07
2017053,2017-03-01(三),02,05,06
2017054,2017-03-02(四),04,05,07
2017055,2017-03-03(五),02,06,07
2017056,2017-03-04(六),00,01,02
2017057,2017-03-05(日),02,02,04
2017058,2017-03-06(一),02,02,06
2017059,2017-03-07(二),01,03,04
2017060,2017-03-08(三),06,08,08
2017061,2017-03-09(四),04,04,05
2017062,2017-03-10(五),05,07,09
2017063,2017-03-11(六),04,06,08
2017064,2017-03-12(日),01,05,08
2017065,2017-03-13(一),05,07,07
2017066,2017-03-14(二),02,02,03
2017067,2017-03-15(三),04,04,06
2017068,2017-03-16(四),00,01,09
2017069,2017-03-17(五),01,05,08
2017070,2017-03-18(六),01,02,03
2017071,2017-03-19(日),02,08,08
2017072,2017-03-20(一),01,04,07
2017073,2017-03-21(二),00,05,07
2017074,2017-03-22(三),05,06,07
2017075,2017-03-23(四),07,07,08
2017076,2017-03-24(五),00,04,07
2017077,2017-03-25(六),00,00,02
2017078,2017-03-26(日),04,04,09
2017079,2017-03-27(一),04,07,08
2017080,2017-03-28(二),03,05,07
2017081,2017-03-29(三),01,02,09
2017082,2017-03-30(四),02,05,06
2017083,2017-03-31(五),00,01,05
2017084,2017-04-01(六),02,02,08
2017085,2017-04-02(日),00,05,06
2017086,2017-04-03(一),06,07,09
2017087,2017-04-04(二),03,07,07
2017088,2017-04-05(三),03,06,06
2017089,2017-04-06(四),01,05,08
2017090,2017-04-07(五),00,03,09
2017091,2017-04-08(六),01,03,04
2017092,2017-04-09(日),00,03,05
2017093,2017-04-10(一),00,04,08
2017094,2017-04-11(二),03,05,07
2017095,2017-04-12(三),03,05,09
2017096,2017-04-13(四),00,04,07
2017097,2017-04-14(五),04,07,09
2017098,2017-04-15(六),00,04,07
